,exchange,name,pairs,area_code,coin_trade,fut_trade,oct_trade
0,9coinexchange,9Coin,32,au,Y,N,Y
6,exx,Exx,73,au,Y,Y,Y
7,hypex,HPX,19,au,Y,N,Y
9,union-coins,澳洲U网,58,au,Y,N,Y
0,gaex,GAEX,15,by,Y,N,Y
0,coinmex,CoinMex,27,bz,Y,N,Y
3,btcbl,BTCBL,31,ca,Y,N,Y
7,vvbtc,VVBTC,18,ca,Y,N,Y
8,xbtc,新比特交易所,16,ca,Y,N,Y
0,hashtoken,加勒比H网,61,cbb,Y,N,Y
0,chaobicom,炒币网,21,cy,Y,N,Y
0,bibox,Bibox,194,ee,Y,N,Y
1,amom,A.mom,32,hk,Y,N,Y
3,bige,币阁,28,hk,Y,N,Y
4,biteceo,CEO交易所,63,hk,Y,N,Y
15,coinsuper,Coinsuper,47,hk,Y,N,Y
16,coinw,币赢国际站,49,hk,Y,N,Y
19,fubt,香港富比特,100,hk,Y,N,Y
20,hb_top,HB.top汇币网,62,hk,Y,N,Y
22,okcoin-intl,OkCoin国际,4,hk,Y,N,Y
23,purcow,紫牛币交所,56,hk,Y,N,Y
25,topbtch,9158交易所,34,hk,Y,N,Y
26,ttex,天天交易所,15,hk,Y,N,Y
28,zbtone,中比特交易所,24,hk,Y,N,Y
29,zhaobi,找币,15,hk,Y,N,Y
0,btktrade,比特王,105,kh,Y,N,Y
2,coinchel,Coinchel,0,kr,Y,N,Y
9,okcoinkr,OkCoin韩国站,33,kr,Y,N,Y
3,gbcax,G网,20,ky,Y,N,Y
4,ngoex,NGOEX,7,ky,Y,N,Y
6,yoexs,YOEXS,36,ky,Y,N,Y
0,haxi,哈希交易所,19,la,Y,N,Y
0,winmax,WinMax,13,my,Y,N,Y
0,bgjio,币管家,27,sc,Y,N,Y
1,biclub,BiClub,9,sc,Y,N,Y
4,bizu,币族,26,sc,Y,N,Y
11,funcoin,Funcoin,59,sc,Y,N,Y
13,huobipro,火币全球站,272,sc,Y,Y,Y
14,idcm,IDCM,31,sc,Y,N,Y
19,lcex,乐币网,13,sc,Y,N,Y
21,shuzibi,DigiFinex,93,sc,Y,N,Y
1,bitforex,币夫,118,sg,Y,N,Y
2,bitker,币客,22,sg,Y,N,Y
4,coinba,新加坡币多网,18,sg,Y,N,Y
5,coinbene,满币网,122,sg,Y,N,Y
6,cointiger,CoinTiger,80,sg,Y,N,Y
8,dragonex,DragonEx,82,sg,Y,N,Y
15,oex,O网,67,sg,Y,N,Y
18,wanshare,WanShare,39,sg,Y,N,Y
19,yex,YEX,38,sg,Y,N,Y
21,zzex,ZZEX,12,sg,Y,N,Y
0,58coin,58COIN,43,uk,Y,N,Y
1,7ebit,7EBIT,83,uk,Y,N,Y
2,aacoin,AAcoin,30,uk,Y,N,Y
3,aex,AEX,86,uk,Y,N,Y
8,bjs,笔加索,22,uk,Y,N,Y
9,bkex,BKEX,17,uk,Y,N,Y
10,btex,比太网,9,uk,Y,N,Y
12,keepbtc,持币网,23,us,Y,N,Y
15,okex,OKEX,585,us,Y,Y,Y
17,prdae,PRDAE,16,us,Y,N,Y
2,zb,ZB网,184,ws,Y,N,Y
